<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
20230703,13:11:00,108821,108835,108820,108827,42,0,0
20230703,13:12:00,108827,108844,108826,108843,33,0,0
20230703,13:13:00,108843,108856,108843,108856,21,0,0
20230703,13:14:00,108856,108867,108856,108864,40,0,0
20230703,13:15:00,108862,108868,108861,108867,39,0,0
20230703,13:16:00,108867,108875,108865,108866,36,0,0
20230703,13:17:00,108867,108867,108855,108858,40,0,0
20230703,13:18:00,108859,108877,108859,108876,43,0,0
20230703,13:19:00,108876,108876,108859,108861,30,0,0
20230703,13:20:00,108861,108868,108860,108868,26,0,0
20230703,13:21:00,108868,108880,108867,108878,27,0,0
20230703,13:22:00,108880,108885,108874,108875,30,0,0
20230703,13:23:00,108877,108877,108860,108868,28,0,0
20230703,13:24:00,108868,108872,108861,108862,24,0,0
20230703,13:25:00,108863,108863,108846,108846,45,0,0
20230703,13:26:00,108845,108866,108845,108853,33,0,0
20230703,13:27:00,108855,108872,108854,108871,19,0,0
20230703,13:28:00,108868,108868,108854,108855,19,0,0
20230703,13:29:00,108855,108865,108852,108855,24,0,0
20230703,13:30:00,108855,108869,108855,108867,33,0,0
20230703,13:31:00,108867,108872,108858,108872,34,0,0
20230703,13:32:00,108872,108883,108872,108882,37,0,0
20230703,13:33:00,108882,108887,108878,108881,40,0,0
20230703,13:34:00,108878,108882,108876,108879,45,0,0
20230703,13:35:00,108879,108888,108874,108882,54,0,0
20230703,13:36:00,108881,108889,108875,108887,39,0,0
20230703,13:37:00,108887,108897,108887,108896,19,0,0
20230703,13:38:00,108896,108900,108886,108898,30,0,0
20230703,13:39:00,108898,108900,108892,108900,30,0,0
20230703,13:40:00,108900,108911,108900,108908,45,0,0
20230703,13:41:00,108909,108920,108909,108919,30,0,0
20230703,13:42:00,108919,108929,108910,108929,45,0,0
20230703,13:43:00,108929,108932,108921,108930,47,0,0
20230703,13:44:00,108931,108963,108926,108958,76,0,0
20230703,13:45:00,108959,108959,108930,108932,65,0,0
20230703,13:46:00,108930,108931,108920,108921,25,0,0
20230703,13:47:00,108920,108926,108911,108916,37,0,0
20230703,13:48:00,108925,108929,108911,108929,46,0,0
20230703,13:49:00,108929,108936,108923,108928,37,0,0
20230703,13:50:00,108927,108928,108919,108922,31,0,0
20230703,13:51:00,108922,108922,108910,108914,19,0,0
20230703,13:52:00,108914,108914,108906,108912,23,0,0
20230703,13:53:00,108912,108915,108903,108908,26,0,0
20230703,13:54:00,108908,108912,108906,108908,21,0,0
20230703,13:55:00,108908,108916,108901,108903,32,0,0
20230703,13:56:00,108903,108917,108900,108917,29,0,0
20230703,13:57:00,108917,108935,108917,108935,47,0,0
20230703,13:58:00,108938,108956,108932,108936,80,0,0
20230703,13:59:00,108933,108933,108918,108922,71,0,0
20230703,14:00:00,108922,108922,108900,108902,67,0,0
20230703,14:01:00,108902,108904,108881,108884,50,0,0
20230703,14:02:00,108884,108887,108873,108881,46,0,0
20230703,14:03:00,108881,108902,108880,108902,35,0,0
20230703,14:04:00,108902,108913,108902,108911,46,0,0
20230703,14:05:00,108911,108922,108907,108922,35,0,0
20230703,14:06:00,108922,108951,108922,108947,70,0,0
20230703,14:07:00,108947,108987,108947,108981,81,0,0
20230703,14:08:00,108981,108991,108978,108985,74,0,0
20230703,14:09:00,108986,109007,108982,108996,73,0,0
20230703,14:10:00,108996,109011,108990,108997,53,0,0
20230703,14:11:00,108997,109004,108986,108998,50,0,0
20230703,14:12:00,108997,109012,108988,109012,65,0,0
20230703,14:13:00,109012,109014,109001,109002,62,0,0
20230703,14:14:00,109002,109036,109002,109031,53,0,0
